timestamp_ns,testbench,task_id,event,execution_time_ns,deadline_ns,temperature_c
585573782426,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585573791148,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585573810444,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585573811889,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585573820519,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585573839926,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585573841259,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585573850056,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585573866481,Context-Switch Testing,4,START,0,0,0.000
585573869815,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585573872426,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585573879537,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585573896722,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585573899333,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585573909019,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585573913741,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585573930167,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585573934704,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585573938463,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585573943333,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585573959833,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585573964296,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585573967907,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585573972796,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585573989296,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585573993741,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585573997352,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574002333,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574022333,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574023222,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574026815,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574032704,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574051852,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574052667,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574056241,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574062167,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574081296,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574082148,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574085685,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574091611,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574110759,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574111574,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574115111,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574121111,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574140204,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574141056,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574144556,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574150556,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574169667,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574170500,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574173981,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574180019,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574199093,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574200000,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574203426,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574209463,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574228574,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574229444,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574232870,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574238926,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574258000,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574258926,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574262315,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574268370,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574287481,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574288352,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574291741,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574297833,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574316907,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574317833,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574321204,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574327296,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574346370,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574347278,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574350630,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574356778,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574375815,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574376685,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574380000,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574386148,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574405185,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574406056,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574409370,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574415519,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574434537,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574435463,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574438741,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574444981,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574464019,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574464889,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574468148,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574474444,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574493444,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574494370,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574497593,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574503926,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574522926,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574523815,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574527019,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574533370,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574552352,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574553296,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574556500,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574562833,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574581833,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574582722,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574585907,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574592315,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574611259,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574612204,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574615352,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574621759,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574640778,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574641648,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574644778,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574651222,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574670204,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574671056,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574674167,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574680593,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574699556,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574700426,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574703556,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574709963,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574728926,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574729815,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574733000,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574739444,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574758426,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574759241,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574762426,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574768926,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574787852,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574788722,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574791907,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574798389,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574817333,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574818148,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574821315,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574827870,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574846759,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574847630,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574850759,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574857333,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574876259,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574877074,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574880185,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574886778,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574905685,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574906574,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574909630,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574916241,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574935204,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574936019,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574939167,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574945722,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574964648,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574965500,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574968630,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585574975185,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585574994093,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585574994926,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585574998037,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585575004722,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585575023556,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585575028852,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585575031852,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585575034204,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585575053093,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585575058407,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585575061389,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585575063722,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585575082519,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585575087870,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585575090852,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585575093185,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585575111981,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585575117296,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585575120296,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585575122630,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585575141426,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585575146796,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585575149759,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585575152093,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585575170907,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585575176204,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585575179204,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585575181556,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585575200352,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585575205704,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585575208685,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585575211019,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585575229833,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585575235130,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585575238111,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585575240444,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585575259241,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585575264500,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585575267537,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
